"AIRPORT_ID","n"
"ZZZZ",47669
"KDEN",11734
"KDFW",9072
"KORD",7520
"KJFK",6756
"KMEM",5577
"KSLC",4429
"KATL",4382
"KSMF",4375
"KDTW",4365
"KMCO",4334
"KIAH",3855
"KCLT",3816
"KLGA",3795
"KSDF",3577
"KMCI",3494
"KAUS",3471
"KEWR",3331
"KCVG",3308
"KBNA",3227
"KPHL",3213
"KLAX",3164
"KBOS",2953
"KBWI",2916
"KPDX",2842
"KIAD",2733
"KSFO",2722
"KDAL",2693
"KCLE",2678
"KFLL",2586
"KIND",2559
"KMSP",2558
"KMSY",2443
"KPIT",2424
"KSEA",2407
"KTEB",2347
"KMDW",2289
"KDCA",2256
"KCMH",2162
"KHOU",2153
"KSAT",2138
"KRSW",2131
"KTPA",2100
"KOMA",2085
"KSJC",2076
"KSTL",2059
"KPHX",2004
"KOAK",1995
"PHNL",1863
"KMIA",1822
"PHLI",1540
"KMKE",1517
"KJAX",1486
"KOKC",1397
"KGRR",1377
"KDSM",1333
"KONT",1299
"KBDL",1269
"KMDT",1265
"KRDU",1189
"KSRQ",1157
"KSFB",1147
"KLIT",1143
"KACY",1107
"KALB",1092
"KLGB",1072
"KPVD",1068
"KRIC",1059
"KBHM",1057
"KCHS",1017
"KBUF",1012
"KMFE",1012
"KDAY",966
"KHPN",932
"PHOG",930
"KORF",928
"KBKL",920
"KDAB",920
"KCOS",915
"KSAN",904
"KSBA",901
"KHSV",862
"KLAS",849
"KTYS",849
"KIWA",842
"KTUL",836
"KLEX",816
"KMMU",796
"KSAV",796
"KPBI",780
"KABE",778
"KMSN",753
"KCRP",749
"KSNA",733
"KBTR",731
"KPIE",729
"KPWM",727
"KABQ",726
"KPIA",709
"KBUR",700
"KTUS",674
"KMYR",673
"KELP",669
"KEVV",659
"TJSJ",659
"KRFD",652
"KAPA",645
"KFWA",637
"KROC",637
"KMLI",617
"KCID",614
"KLCK",614
"KBOI",613
"KPSM",607
"KGSO",606
"KSBN",601
"KSGF",601
"PHTO",600
"KICT",590
"KGNV",584
"KPNS",579
"KVNY",576
"KHVN",570
"KCHA",554
"KAGS",553
"KMAF",547
"KMKC",541
"KRNO",533
"KEYW",532
"KILM",521
"KLAN",514
"PANC",513
"KMHT",510
"KFSD",508
"KISP",497
"KGFK",496
"KJAN",480
"KGSP",474
"KILN",469
"KAVL",461
"KGPT",461
"KCAE",456
"KLBB",448
"KLNK",444
"KBED",441
"KSHV",429
"KPGD",428
"KAFW",427
"KGEG",426
"KROA",419
"KXNA",417
"KBJC",415
"KFAT",412
"KBFI",407
"KBTV",404
"KPHF",403
"KMFR",402
"KLFT",401
"KYIP",399
"KMLB",398
"KFTW",392
"KTVC",388
"KEUG",386
"KEFD",382
"KHRL",375
"KGRB",371
"KPWK",370
"KSYR",353
"KMWH",346
"KAMA",344
"PGUM",339
"KCMI",334
"KRAP",332
"KTTN",322
"KADS",321
"KGON",319
"KFAR",318
"KORL",318
"KPDK",314
"KBMI",311
"KPAE",309
"KAVP",301
"KTRI",300
"KBIL",298
"KTLH",290
"KCOU",286
"KMBS",282
"KFNT",280
"KLAL",278
"KBIS",267
"KCRW",266
"KSWF",265
"KDPA",261
"KLRD",261
"KBLI",259
"KFXE",257
"KLSE",255
"KATW",253
"KMLU",253
"PHJR",253
"KTOL",249
"KSUX",247
"KMOB",246
"KABR",242
"PAFA",241
"KAPC",239
"RPLC",237
"KMHR",236
"KASE",235
"TIST",234
"KHEF",233
"KCAK",230
"KBGR",229
"KUNV",221
"KRST",219
"KCPS",211
"KPUB",210
"KAZO",205
"KFMY",204
"KHYA",204
"PHMK",204
"KAPF",203
"KCLL",203
"KMSO",200
"KOSU",200
"KBZN",199
"KLUK",198
"KSUS",197
"KSTS",195
"LFPG",195
"KILG",190
"KERI",189
"KSCK",183
"KSPI",183
"KVRB",182
"MPTO",182
"KPSP",181
"KHIO",179
"PHJH",179
"KPVU",177
"KLMT",176
"KNEW",175
"KTKI",175
"KPAO",174
"MROC",174
"PGSN",173
"KECG",172
"KPSC",172
"KBLV",167
"KCMA",166
"KORH",166
"KHDN",164
"TISX",164
"KHTS",162
"KMOT",156
"KAGC",155
"PASI",155
"KVQQ",153
"PAJN",153
"KBFM",152
"KELM",151
"KGPI",151
"KPRC",151
"KRVS",151
"KBAK",150
"KBDR",150
"KECP",150
"KACK",149
"KOPF",149
"MSLP",149
"KCHO",147
"KSQL",147
"KMGM",146
"KBGM",144
"KFSM",142
"KPTK",140
"KOQU",138
"MMUN",138
"KABI",135
"KSBP",133
"KJAC",132
"KDTO",130
"KGJT",130
"KFNL",129
"CYYZ",128
"EDDK",128
"KSTP",128
"KGTF",127
"KBCT",126
"KDXR",124
"KGRI",124
"KGYY",124
"KHGR",124
"MMGL",124
"KCNO",123
"KCSG",122
"KSGJ",122
"CYVR",121
"KLYH",120
"KTYR",120
"KGGG",118
"KLOU",118
"KTMB",117
"KFRG",116
"KSGR",115
