"SPECIES_GROUP","PHASE_GROUP","TIME_OF_DAY","reported_strikes","damaging_strikes","damage_rate"
"Seabirds","En route","Night",5,5,1
"Seabirds","En route","Dawn",2,2,1
"Seabirds","En route","Dusk",2,2,1
"Unknown","Arrival","Dusk",2,2,1
"Other mammals","Ground","Dusk",1,1,1
"Raptors","Ground","Dawn",1,1,1
"Reptiles & amphibians","Arrival","Dawn",1,1,1
"Upland game birds","En route","Dusk",1,1,1
"Wading birds","En route","Dusk",1,1,1
"Deer","Arrival","Night",587,508,0.86541737649063
"Deer","Arrival","Day",215,180,0.837209302325581
"Deer","Arrival","Dusk",118,98,0.830508474576271
"Deer","Departure","Day",99,80,0.808080808080808
"Deer","Departure","Night",207,166,0.801932367149758
"Waterfowl","En route","Day",112,87,0.776785714285714
"Waterfowl","En route","Night",217,163,0.751152073732719
"Deer","Arrival","Dawn",12,9,0.75
"Wading birds","En route","Night",31,23,0.741935483870968
"Deer","Departure","Dawn",23,17,0.739130434782609
"Waterfowl","En route","Dusk",29,21,0.724137931034483
"Seabirds","En route","Day",81,58,0.716049382716049
"Deer","Ground","Day",7,5,0.714285714285714
"Deer","Departure","Dusk",45,31,0.688888888888889
"Gulls & terns","En route","Dusk",9,6,0.666666666666667
"Corvids","En route","Night",3,2,0.666666666666667
"Unknown","Arrival","Day",3,2,0.666666666666667
"Raptors","En route","Day",498,329,0.660642570281124
"Deer","Ground","Night",13,8,0.615384615384615
"Seabirds","Departure","Day",160,98,0.6125
"Gulls & terns","En route","Dawn",5,3,0.6
"Waterfowl","Departure","Night",466,272,0.583690987124464
"Corvids","Departure","Night",7,4,0.571428571428571
"Deer","En route","Night",7,4,0.571428571428571
"Waterfowl","Departure","Dusk",116,63,0.543103448275862
"Gulls & terns","En route","Day",177,96,0.542372881355932
"Waterfowl","Departure","Dawn",134,67,0.5
"Corvids","En route","Day",14,7,0.5
"Upland game birds","Departure","Dusk",8,4,0.5
"Raptors","En route","Dusk",6,3,0.5
"Waterfowl","En route","Dawn",6,3,0.5
"Deer","En route","Day",4,2,0.5
"Raptors","En route","Dawn",4,2,0.5
"Seabirds","Departure","Dusk",4,2,0.5
"Upland game birds","En route","Day",2,1,0.5
"Waterfowl","Arrival","Night",1990,942,0.473366834170854
"Waterfowl","Departure","Day",913,417,0.456736035049288
"Upland game birds","Departure","Night",9,4,0.444444444444444
"Seabirds","Arrival","Day",213,92,0.431924882629108
"Waterfowl","Arrival","Dusk",325,139,0.427692307692308
"Raptors","En route","Night",24,10,0.416666666666667
"Wading birds","En route","Day",23,9,0.391304347826087
