"rank","SPECIES_GROUP","PHASE_GROUP","TIME_OF_DAY","reported_strikes","damaging_strikes","damage_rate"
1,"Deer","Arrival","Night",587,508,0.86541737649063
2,"Deer","Arrival","Day",215,180,0.837209302325581
3,"Deer","Arrival","Dusk",118,98,0.830508474576271
4,"Deer","Departure","Day",99,80,0.808080808080808
5,"Deer","Departure","Night",207,166,0.801932367149758
6,"Waterfowl","En route","Day",112,87,0.776785714285714
7,"Waterfowl","En route","Night",217,163,0.751152073732719
8,"Wading birds","En route","Night",31,23,0.741935483870968
9,"Seabirds","En route","Day",81,58,0.716049382716049
10,"Deer","Departure","Dusk",45,31,0.688888888888889
11,"Raptors","En route","Day",498,329,0.660642570281124
12,"Seabirds","Departure","Day",160,98,0.6125
13,"Waterfowl","Departure","Night",466,272,0.583690987124464
14,"Waterfowl","Departure","Dusk",116,63,0.543103448275862
15,"Gulls & terns","En route","Day",177,96,0.542372881355932
16,"Waterfowl","Departure","Dawn",134,67,0.5
17,"Waterfowl","Arrival","Night",1990,942,0.473366834170854
18,"Waterfowl","Departure","Day",913,417,0.456736035049288
19,"Seabirds","Arrival","Day",213,92,0.431924882629108
20,"Waterfowl","Arrival","Dusk",325,139,0.427692307692308
21,"Waterfowl","Arrival","Day",1330,501,0.376691729323308
22,"Wading birds","Departure","Night",118,43,0.364406779661017
23,"Waterfowl","Arrival","Dawn",106,37,0.349056603773585
24,"Wading birds","Departure","Dawn",42,14,0.333333333333333
25,"Upland game birds","Arrival","Day",132,43,0.325757575757576
26,"Wading birds","Departure","Dusk",31,10,0.32258064516129
27,"Gulls & terns","En route","Night",36,11,0.305555555555556
28,"Seabirds","Arrival","Night",116,32,0.275862068965517
29,"Wading birds","Arrival","Dusk",45,12,0.266666666666667
30,"Seabirds","Departure","Night",49,13,0.26530612244898
31,"Wading birds","Arrival","Night",422,106,0.251184834123223
32,"Unknown bird","En route","Day",1903,444,0.233315817130846
33,"Raptors","Departure","Day",3775,880,0.233112582781457
34,"Gulls & terns","Departure","Night",232,52,0.224137931034483
35,"Unknown bird","En route","Dusk",141,31,0.219858156028369
36,"Gulls & terns","Departure","Dusk",129,28,0.217054263565891
37,"Gulls & terns","Departure","Dawn",325,70,0.215384615384615
38,"Raptors","Arrival","Day",5694,1206,0.211801896733404
39,"Raptors","Departure","Dusk",173,36,0.208092485549133
40,"Wading birds","Arrival","Dawn",30,6,0.2
41,"Wading birds","Departure","Day",693,138,0.199134199134199
42,"Upland game birds","Departure","Day",102,20,0.196078431372549
43,"Gulls & terns","Departure","Day",3700,717,0.193783783783784
44,"Raptors","Departure","Dawn",187,32,0.171122994652406
45,"Perching birds","En route","Night",199,30,0.150753768844221
46,"Other mammals","Arrival","Dusk",41,6,0.146341463414634
47,"Unknown bird","En route","Dawn",77,11,0.142857142857143
48,"Raptors","Departure","Night",392,55,0.14030612244898
49,"Gulls & terns","Arrival","Night",990,137,0.138383838383838
50,"Corvids","Departure","Day",248,34,0.137096774193548
51,"Other birds","Departure","Night",75,10,0.133333333333333
52,"Unknown bird","En route","Night",2905,382,0.131497418244406
53,"Wading birds","Arrival","Day",771,101,0.130998702983139
54,"Gulls & terns","Arrival","Dawn",177,23,0.129943502824859
55,"Gulls & terns","Arrival","Dusk",286,36,0.125874125874126
