"SPECIES","PHASE_OF_FLIGHT","TIME_OF_DAY","reported_strikes","damaging_strikes","damage_rate"
"Mule deer","Landing Roll","Night",22,22,1
"Wood duck","En Route","Night",8,8,1
"American coot","Descent","Night",5,5,1
"Anhinga","Departure","Day",5,5,1
"Northern shoveler","En Route","Night",5,5,1
"Snow goose","En Route","Day",5,5,1
"Wapiti (elk)","Landing Roll","Night",5,5,1
"Western/Clark's grebe complex","Climb","Night",5,5,1
"Canada goose","Descent","Day",4,4,1
"Canada goose","En Route","Dusk",4,4,1
"Canvasback","Climb","Night",4,4,1
"Deer","Landing Roll","Day",4,4,1
"Ring-necked duck","En Route","Night",4,4,1
"Tundra swan","Approach","Night",4,4,1
"American black duck","Climb","Day",3,3,1
"American coot","En Route","Day",3,3,1
"American woodcock","En Route","Night",3,3,1
"Black-bellied whistling-duck","Climb","Night",3,3,1
"Black vulture","Departure","Day",3,3,1
"Brant","Climb","Night",3,3,1
"Deer","Landing Roll","Night",3,3,1
"Eared grebe","Climb","Day",3,3,1
"Geese","Descent","Day",3,3,1
"Golden eagle","En Route","Day",3,3,1
"Green-winged teal","Climb","Day",3,3,1
"Lesser scaup","Climb","Day",3,3,1
"Mallard","En Route","Dusk",3,3,1
"Mule deer","Approach","Day",3,3,1
"Mule deer","Landing Roll","Dusk",3,3,1
"Pronghorn","Landing Roll","Day",3,3,1
"Red-throated loon","Climb","Day",3,3,1
"Ring-necked duck","Climb","Day",3,3,1
"Snow goose","Descent","Night",3,3,1
"Snow goose/Ross's goose complex","Descent","Night",3,3,1
"Swine (pigs)","Landing Roll","Night",3,3,1
"White-headed gull complex","Climb","Dawn",3,3,1
"White-headed gull complex","Climb","Dusk",3,3,1
"American bittern","En Route","Night",2,2,1
"American wigeon","Climb","Dawn",2,2,1
"American wigeon","En Route","Night",2,2,1
"Black vulture","Approach","Night",2,2,1
"Blue-billed white tern","Climb","Day",2,2,1
"Blue-winged teal","En Route","Day",2,2,1
"Cackling goose","En Route","Night",2,2,1
"Canvasback","En Route","Night",2,2,1
"Cattle","Landing Roll","Day",2,2,1
"Cattle","Landing Roll","Dusk",2,2,1
"Cedar waxwing","En Route","Day",2,2,1
"Cinnamon teal","Climb","Night",2,2,1
"Collared peccary","Landing Roll","Night",2,2,1
"Common raven","En Route","Day",2,2,1
"Common tern","Approach","Night",2,2,1
"Deer","Take-off Run","Night",2,2,1
"Ducks","Descent","Night",2,2,1
"Ducks, geese, swans","Descent","Day",2,2,1
"Eastern screech-owl","Approach","Night",2,2,1
"Gadwall","Climb","Dawn",2,2,1
"Glossy ibis","En Route","Day",2,2,1
"Greater white-fronted goose","Descent","Night",2,2,1
"Greater white-fronted goose","En Route","Day",2,2,1
"Greater yellowlegs","Climb","Night",2,2,1
"Hawaiian goose","Approach","Day",2,2,1
"Hawaiian hawk","En Route","Day",2,2,1
"Laughing gull","En Route","Night",2,2,1
"Marbled godwit","Climb","Day",2,2,1
"Mottled duck","Take-off Run","Dawn",2,2,1
"Mule deer","Take-off Run","Dawn",2,2,1
"Mule deer","Take-off Run","Dusk",2,2,1
"New World vultures","Descent","Day",2,2,1
"Northern pintail","Take-off Run","Dusk",2,2,1
