"rank","SPECIES","PHASE_OF_FLIGHT","TIME_OF_DAY","reported_strikes","damaging_strikes","damage_rate"
1,"White-tailed deer","Landing Roll","Day",127,119,0.937007874015748
2,"White-tailed deer","Landing Roll","Dusk",81,72,0.888888888888889
3,"Turkey vulture","En Route","Day",129,113,0.875968992248062
4,"White-tailed deer","Landing Roll","Night",490,423,0.863265306122449
5,"Red-tailed hawk","En Route","Day",48,40,0.833333333333333
6,"White-tailed deer","Approach","Night",53,44,0.830188679245283
7,"Black vulture","En Route","Day",43,35,0.813953488372093
8,"White-tailed deer","Take-off Run","Day",75,61,0.813333333333333
9,"Canada goose","En Route","Day",36,29,0.805555555555556
10,"White-tailed deer","Take-off Run","Night",161,129,0.801242236024845
11,"Bald eagle","En Route","Day",30,24,0.8
12,"New World vultures","En Route","Day",61,47,0.770491803278688
13,"Hawks","En Route","Day",48,35,0.729166666666667
14,"Snow goose","Approach","Night",80,58,0.725
15,"Greater white-fronted goose","Approach","Night",54,39,0.722222222222222
16,"Black vulture","Approach","Day",208,150,0.721153846153846
17,"Double-crested cormorant","Climb","Day",39,28,0.717948717948718
18,"Black vulture","Climb","Day",80,55,0.6875
19,"Ducks","En Route","Night",57,37,0.649122807017544
20,"Turkey vulture","Climb","Day",268,173,0.645522388059702
21,"Canada goose","Climb","Day",234,151,0.645299145299145
22,"White-tailed deer","Take-off Run","Dusk",31,20,0.645161290322581
23,"Canada goose","Approach","Night",335,212,0.632835820895522
24,"Canada goose","Climb","Night",65,41,0.630769230769231
25,"Bald eagle","Climb","Day",62,39,0.629032258064516
26,"New World vultures","Approach","Day",185,112,0.605405405405405
27,"Canada goose","Approach","Dusk",91,55,0.604395604395604
28,"Gulls","En Route","Day",121,73,0.603305785123967
29,"New World vultures","Climb","Day",102,60,0.588235294117647
30,"Blue-winged teal","Approach","Night",32,18,0.5625
31,"White-headed gull complex","Climb","Day",47,25,0.531914893617021
32,"Mallard","Climb","Night",32,17,0.53125
33,"Geese","Approach","Night",145,76,0.524137931034483
34,"Ducks","Climb","Night",44,23,0.522727272727273
35,"Geese","Climb","Night",48,25,0.520833333333333
36,"Geese","Climb","Day",50,26,0.52
37,"Geese","Approach","Day",97,50,0.515463917525773
38,"Lesser scaup","Approach","Night",37,19,0.513513513513513
39,"Ruddy duck","Approach","Night",37,19,0.513513513513513
40,"White-tailed deer","Approach","Day",39,20,0.512820512820513
41,"Turkey vulture","Approach","Day",442,226,0.51131221719457
42,"Gadwall","Approach","Night",45,23,0.511111111111111
43,"Canada goose","Take-off Run","Dawn",30,15,0.5
44,"Bald eagle","Approach","Day",126,61,0.484126984126984
45,"Canada goose","Take-off Run","Night",37,17,0.459459459459459
46,"Canada goose","Approach","Day",406,185,0.455665024630542
47,"Osprey","Climb","Day",53,24,0.452830188679245
48,"Sandhill crane","Take-off Run","Day",31,14,0.451612903225806
49,"Ducks, geese, swans","Approach","Night",51,23,0.450980392156863
50,"Osprey","Approach","Day",171,77,0.450292397660819
51,"Canada goose","Landing Roll","Night",69,31,0.449275362318841
52,"Wild turkey","Landing Roll","Day",47,21,0.446808510638298
53,"Mallard","Approach","Night",209,91,0.435406698564593
54,"Northern pintail","Approach","Night",136,59,0.433823529411765
55,"Red-tailed hawk","Climb","Day",247,105,0.425101214574899
56,"American wigeon","Approach","Night",46,19,0.41304347826087
57,"Great blue heron","Approach","Night",46,19,0.41304347826087
58,"Great blue heron","Climb","Day",39,16,0.41025641025641
59,"Double-crested cormorant","Approach","Day",64,26,0.40625
60,"Sandhill crane","Landing Roll","Day",32,13,0.40625
61,"Mallard","Approach","Dusk",37,15,0.405405405405405
62,"Northern shoveler","Approach","Night",65,26,0.4
63,"Canada goose","Landing Roll","Dusk",43,17,0.395348837209302
64,"Canada goose","Take-off Run","Day",193,76,0.393782383419689
65,"Ducks","Climb","Day",77,30,0.38961038961039
66,"Mallard","Climb","Day",71,26,0.366197183098592
67,"Canada goose","Landing Roll","Day",178,65,0.365168539325843
68,"Bald eagle","Take-off Run","Day",88,32,0.363636363636364
69,"Gulls","Climb","Dusk",35,12,0.342857142857143
70,"Ducks","Approach","Night",229,76,0.331877729257642
71,"Red-tailed hawk","Approach","Day",522,168,0.32183908045977
72,"American coot","Approach","Night",103,33,0.320388349514563
73,"Mallard","Approach","Day",105,33,0.314285714285714
74,"Northern pintail","Approach","Day",35,11,0.314285714285714
75,"American robin","Descent","Night",32,10,0.3125
76,"Ducks","Approach","Day",178,54,0.303370786516854
77,"Turkey vulture","Take-off Run","Day",94,28,0.297872340425532
78,"Ducks","Approach","Dusk",44,13,0.295454545454545
79,"Hawks","Climb","Day",229,65,0.283842794759825
80,"Mourning dove","Climb","Night",36,10,0.277777777777778
81,"Great horned owl","Landing Roll","Night",47,13,0.276595744680851
82,"Gulls","Climb","Day",978,265,0.270961145194274
83,"Turkey vulture","Landing Roll","Day",86,23,0.267441860465116
84,"Red-tailed hawk","Approach","Dusk",30,8,0.266666666666667
85,"Swainson's hawk","Approach","Day",30,8,0.266666666666667
86,"Hawks","Approach","Day",455,120,0.263736263736264
87,"Red-tailed hawk","Take-off Run","Dusk",50,13,0.26
88,"Herring gull","Climb","Day",97,25,0.257731958762887
89,"Red-tailed hawk","Take-off Run","Dawn",32,8,0.25
90,"Osprey","Take-off Run","Day",78,19,0.243589743589744
91,"Gulls","Climb","Night",99,24,0.242424242424242
92,"Rock pigeon","Climb","Day",302,73,0.241721854304636
93,"Ring-billed gull","Climb","Day",121,29,0.239669421487603
94,"Gulls","Climb","Dawn",92,22,0.239130434782609
95,"Great horned owl","Approach","Night",42,10,0.238095238095238
96,"Bald eagle","Landing Roll","Day",93,22,0.236559139784946
97,"White-headed gull complex","Take-off Run","Day",30,7,0.233333333333333
98,"Great blue heron","Approach","Day",69,16,0.231884057971014
99,"Green-winged teal","Approach","Night",61,14,0.229508196721311
100,"Northern flicker","Approach","Night",35,8,0.228571428571429
101,"Great blue heron","Take-off Run","Day",79,18,0.227848101265823
102,"Egrets","Climb","Day",41,9,0.219512195121951
103,"Herring gull","Approach","Day",169,35,0.207100591715976
104,"Mourning dove","Climb","Dusk",44,9,0.204545454545455
105,"Laughing gull","Climb","Day",54,11,0.203703703703704
106,"Ring-billed gull","Approach","Night",60,12,0.2
107,"Gulls","Approach","Dusk",141,28,0.198581560283688
108,"Osprey","Landing Roll","Day",81,16,0.197530864197531
109,"American crow","Climb","Day",61,12,0.19672131147541
110,"California gull","Take-off Run","Day",41,8,0.195121951219512
111,"Ducks","Take-off Run","Day",41,8,0.195121951219512
112,"White-headed gull complex","Approach","Day",144,28,0.194444444444444
113,"Western gull","Approach","Day",36,7,0.194444444444444
114,"Ducks","Landing Roll","Day",31,6,0.193548387096774
115,"Swainson's hawk","Landing Roll","Day",31,6,0.193548387096774
116,"Wild turkey","Take-off Run","Day",32,6,0.1875
117,"Herring gull","Take-off Run","Day",252,45,0.178571428571429
118,"Hawks","Take-off Run","Day",247,43,0.174089068825911
119,"Great blue heron","Landing Roll","Day",69,12,0.173913043478261
120,"Red-tailed hawk","Take-off Run","Day",547,94,0.171846435100548
121,"Gulls","Approach","Day",1557,262,0.168272318561336
122,"American woodcock","Approach","Night",48,8,0.166666666666667
123,"Franklin's gull","Take-off Run","Day",36,6,0.166666666666667
124,"Coyote","Take-off Run","Dawn",30,5,0.166666666666667
125,"Swainson's thrush","Climb","Night",30,5,0.166666666666667
126,"European starling","Climb","Dusk",37,6,0.162162162162162
127,"Crows","Approach","Day",62,10,0.161290322580645
128,"Owls","Approach","Night",87,14,0.160919540229885
129,"American robin","Climb","Night",59,9,0.152542372881356
130,"Gulls","Take-off Run","Dawn",120,18,0.15
131,"Gulls","Take-off Run","Day",1305,194,0.148659003831418
132,"Rock pigeon","Take-off Run","Day",520,74,0.142307692307692
133,"Gulls","Approach","Night",622,85,0.136655948553055
134,"Gulls","Take-off Run","Night",74,10,0.135135135135135
135,"Sora","Approach","Night",37,5,0.135135135135135
136,"Coyote","Take-off Run","Night",126,17,0.134920634920635
137,"Peregrine falcon","Take-off Run","Day",68,9,0.132352941176471
138,"White-headed gull complex","Approach","Night",61,8,0.131147540983607
139,"Ring-billed gull","Approach","Day",261,34,0.130268199233716
140,"Peregrine falcon","Landing Roll","Day",85,11,0.129411764705882
141,"Gulls","Landing Roll","Dawn",39,5,0.128205128205128
142,"Red-tailed hawk","Landing Roll","Dusk",47,6,0.127659574468085
143,"Rock pigeon","Approach","Day",677,86,0.127031019202363
144,"Egrets","Take-off Run","Day",79,10,0.126582278481013
145,"Coyote","Landing Roll","Night",245,31,0.126530612244898
146,"Rock pigeon","Take-off Run","Dawn",32,4,0.125
