"PHASE_OF_FLIGHT","MONTH_NAME","strikes","pct_of_phase"
"Approach","Jan",2865,3.23556981038319
"Approach","Feb",2737,3.09101381187392
"Approach","Mar",4653,5.2548364145595
"Approach","Apr",7412,8.3706957886772
"Approach","May",10020,11.3160242583035
"Approach","Jun",5477,6.1854156549629
"Approach","Jul",7557,8.53445063073848
"Approach","Aug",10369,11.7101652229889
"Approach","Sep",13208,14.9163720961749
"Approach","Oct",13596,15.3545574666561
"Approach","Nov",7132,8.05447954193818
"Approach","Dec",3521,3.97641930274318
"Climb","Jan",1141,3.7212184462853
"Climb","Feb",1117,3.64294566564477
"Climb","Mar",1718,5.6030265475181
"Climb","Apr",2405,7.84358489335334
"Climb","May",3144,10.2537342639097
"Climb","Jun",2223,7.2500163068293
"Climb","Jul",3197,10.4265866544909
"Climb","Aug",3892,12.6932359272063
"Climb","Sep",4259,13.8901571978345
"Climb","Oct",3914,12.7649859761268
"Climb","Nov",2283,7.44569825843063
"Climb","Dec",1369,4.46480986237036
"Departure","Jan",137,3.43530591775326
"Departure","Feb",111,2.78335005015045
"Departure","Mar",164,4.1123370110331
"Departure","Apr",219,5.49147442326981
"Departure","May",373,9.3530591775326
"Departure","Jun",384,9.62888665997994
"Departure","Jul",651,16.3239719157472
"Departure","Aug",655,16.4242728184554
"Departure","Sep",490,12.2868605817452
"Departure","Oct",386,9.679037111334
"Departure","Nov",243,6.09327983951856
"Departure","Dec",175,4.38816449348044
"Descent","Jan",37,1.24831309041835
"Descent","Feb",45,1.51821862348178
"Descent","Mar",132,4.45344129554656
"Descent","Apr",329,11.0998650472335
"Descent","May",414,13.9676113360324
"Descent","Jun",123,4.1497975708502
"Descent","Jul",198,6.68016194331984
"Descent","Aug",390,13.1578947368421
"Descent","Sep",545,18.387314439946
"Descent","Oct",498,16.8016194331984
"Descent","Nov",200,6.74763832658569
"Descent","Dec",53,1.78812415654521
"En Route","Jan",159,2.54277946585639
"En Route","Feb",206,3.29441867903406
"En Route","Mar",391,6.25299856069087
"En Route","Apr",653,10.4429873660643
"En Route","May",806,12.8898128898129
"En Route","Jun",291,4.65376619222773
"En Route","Jul",316,5.05357428434352
"En Route","Aug",546,8.73180873180873
"En Route","Sep",1030,16.4720933951703
"En Route","Oct",1169,18.6950263873341
"En Route","Nov",487,7.78826163441548
"En Route","Dec",199,3.18247241324164
"Landing Roll","Jan",1236,3.27677624602333
"Landing Roll","Feb",1130,2.99575821845175
"Landing Roll","Mar",1491,3.95281018027572
"Landing Roll","Apr",2118,5.61505832449629
"Landing Roll","May",3004,7.96394485683987
"Landing Roll","Jun",3968,10.5196182396607
"Landing Roll","Jul",6436,17.0625662778367
"Landing Roll","Aug",6343,16.8160127253446
"Landing Roll","Sep",4495,11.9167550371156
"Landing Roll","Oct",3654,9.68716861081654
"Landing Roll","Nov",2257,5.98356309650053
"Landing Roll","Dec",1588,4.20996818663839
"Local","Jan",50,3.30469266358229
"Local","Feb",54,3.56906807666887
"Local","Mar",71,4.69266358228685
"Local","Apr",106,7.00594844679445
"Local","May",152,10.0462656972902
"Local","Jun",150,9.91407799074686
"Local","Jul",189,12.491738268341
"Local","Aug",257,16.986120290813
"Local","Sep",184,12.1612690019828
"Local","Oct",143,9.45142101784534
"Local","Nov",91,6.01454064771976
"Local","Dec",66,4.36219431592862
"Take-Off Run","Jan",1245,3.59276253138256
"Take-Off Run","Feb",1049,3.02715493608057
"Take-Off Run","Mar",1428,4.12085533720024
"Take-Off Run","Apr",2063,5.95330851585721
"Take-Off Run","May",2991,8.63128733442992
"Take-Off Run","Jun",3579,10.3281101203359
"Take-Off Run","Jul",5588,16.1255879721813
"Take-Off Run","Aug",5884,16.9797708712088
"Take-Off Run","Sep",4067,11.7363576025164
"Take-Off Run","Oct",3117,8.99489221712406
"Take-Off Run","Nov",2181,6.29382737425331
"Take-Off Run","Dec",1461,4.21608518742966
"Other","Jan",75,3.74251497005988
"Other","Feb",66,3.29341317365269
"Other","Mar",74,3.69261477045908
"Other","Apr",100,4.99001996007984
"Other","May",156,7.78443113772455
"Other","Jun",193,9.63073852295409
"Other","Jul",302,15.0698602794411
"Other","Aug",264,13.1736526946108
"Other","Sep",257,12.8243512974052
"Other","Oct",259,12.9241516966068
"Other","Nov",160,7.98403193612774
"Other","Dec",98,4.89021956087824
