"FAAREGION","MONTH_NAME","strikes","pct_of_region"
"AAL","Jan",38,2.27136879856545
"AAL","Feb",32,1.91273161984459
"AAL","Mar",47,2.80932456664674
"AAL","Apr",77,4.60251046025105
"AAL","May",217,12.9707112970711
"AAL","Jun",184,10.9982068141064
"AAL","Jul",250,14.9432157800359
"AAL","Aug",334,19.9641362821279
"AAL","Sep",238,14.2259414225941
"AAL","Oct",130,7.77047220561865
"AAL","Nov",72,4.30364614465033
"AAL","Dec",54,3.22773460848775
"ACE","Jan",276,2.00800291014915
"ACE","Feb",223,1.62240814841761
"ACE","Mar",547,3.97962895598399
"ACE","Apr",726,5.28192069843579
"ACE","May",1465,10.6584212440888
"ACE","Jun",985,7.16624226991633
"ACE","Jul",2017,14.6744270643871
"ACE","Aug",2508,18.2466351400509
"ACE","Sep",2454,17.8537650054565
"ACE","Oct",1551,11.2841033102947
"ACE","Nov",684,4.97635503819571
"ACE","Dec",309,2.2480902146235
"AEA","Jan",1166,2.55019465465203
"AEA","Feb",1138,2.48895498884563
"AEA","Mar",2116,4.62796903022615
"AEA","Apr",3048,6.66637504921045
"AEA","May",4377,9.57307204409256
"AEA","Jun",3262,7.13442106644504
"AEA","Jul",6102,13.3458728839508
"AEA","Aug",6974,15.2530510476357
"AEA","Sep",5785,12.6525523817856
"AEA","Oct",6627,14.4941166178207
"AEA","Nov",3536,7.73369493897905
"AEA","Dec",1591,3.47972529635624
"AGL","Jan",636,1.37552176828081
"AGL","Feb",730,1.57882215541666
"AGL","Mar",1734,3.75024331163354
"AGL","Apr",2702,5.84380474511755
"AGL","May",4360,9.42967753098168
"AGL","Jun",4062,8.78517204835954
"AGL","Jul",8365,18.0915716850142
"AGL","Aug",8859,19.1599801025153
"AGL","Sep",7169,15.5048986742219
"AGL","Oct",4697,10.1585310465644
"AGL","Nov",2033,4.3969115643316
"AGL","Dec",890,1.92486536756277
"ANE","Jan",328,3.00669172243102
"ANE","Feb",292,2.6766889724081
"ANE","Mar",349,3.19919332661106
"ANE","Apr",597,5.4725456045467
"ANE","May",893,8.18590154917958
"ANE","Jun",745,6.82922357686314
"ANE","Jul",1697,15.5559629663581
"ANE","Aug",1812,16.6101384178201
"ANE","Sep",1414,12.9617746814557
"ANE","Oct",1371,12.5676047300394
"ANE","Nov",963,8.82757356311303
"ANE","Dec",448,4.10670088917408
"ANM","Jan",1107,3.52233676975945
"ANM","Feb",941,2.99414534809724
"ANM","Mar",1380,4.3909889270714
"ANM","Apr",1731,5.50782741504391
"ANM","May",3020,9.60926562301133
"ANM","Jun",4251,13.5261550210004
"ANM","Jul",5268,16.76212294769
"ANM","Aug",3847,12.2406771032201
"ANM","Sep",4361,13.8761613847525
"ANM","Oct",2856,9.08743795341734
"ANM","Nov",1468,4.67099401807306
"ANM","Dec",1198,3.81188748886343
"ASO","Jan",2347,3.60417082571907
"ASO","Feb",2374,3.64563337889095
"ASO","Mar",3245,4.98318463121362
"ASO","Apr",4296,6.5971529046822
"ASO","May",5615,8.62267540963467
"ASO","Jun",5008,7.69053578832599
"ASO","Jul",7470,11.4713063775549
"ASO","Aug",9924,15.2397917658441
"ASO","Sep",8886,13.6457869439027
"ASO","Oct",8300,12.745895975061
"ASO","Nov",4782,7.34347886177613
"ASO","Dec",2872,4.41038713739462
"ASW","Jan",1319,3.23553942010499
"ASW","Feb",1394,3.41951626355296
"ASW","Mar",1963,4.81528724917824
"ASW","Apr",3533,8.6665358386891
"ASW","May",4374,10.7295295098857
"ASW","Jun",3914,9.6011382034048
"ASW","Jul",5291,12.9789530491096
"ASW","Aug",5417,13.2880341461021
"ASW","Sep",4828,11.8432026688907
"ASW","Oct",4394,10.7785900014718
"ASW","Nov",2783,6.82676740420939
"ASW","Dec",1556,3.81690624540058
"AWP","Jan",2406,6.641088630655
"AWP","Feb",1941,5.35758646388252
"AWP","Mar",2232,6.16081040050788
"AWP","Apr",3203,8.84098374230589
"AWP","May",3122,8.61740594551326
"AWP","Jun",3110,8.58428330895139
"AWP","Jul",3394,9.36818570758232
"AWP","Aug",3119,8.60912528637279
"AWP","Sep",3322,9.1694498882111
"AWP","Oct",4280,11.8137403737337
"AWP","Nov",3240,8.94311187170499
"AWP","Dec",2860,7.89422838057909
"FGN","Jan",234,4.11681914144968
"FGN","Feb",230,4.04644616467277
"FGN","Mar",316,5.5594651653765
"FGN","Apr",480,8.44475721323012
"FGN","May",513,9.02533427163969
"FGN","Jun",501,8.81421534130894
"FGN","Jul",562,9.88740323715693
"FGN","Aug",632,11.118930330753
"FGN","Sep",654,11.505981703026
"FGN","Oct",700,12.3152709359606
"FGN","Nov",547,9.62350457424349
"FGN","Dec",315,5.54187192118227
