"INCIDENT_YEAR","months_reported","first_date","last_date","included_in_comparisons"
1990,12,1990-01-02,1990-12-31,TRUE
1991,12,1991-01-01,1991-12-31,TRUE
1992,12,1992-01-01,1992-12-31,TRUE
1993,12,1993-01-01,1993-12-31,TRUE
1994,12,1994-01-01,1994-12-31,TRUE
1995,12,1995-01-01,1995-12-31,TRUE
1996,12,1996-01-01,1996-12-31,TRUE
1997,12,1997-01-01,1997-12-31,TRUE
1998,12,1998-01-01,1998-12-31,TRUE
1999,12,1999-01-01,1999-12-31,TRUE
2000,12,2000-01-01,2000-12-31,TRUE
2001,12,2001-01-01,2001-12-31,TRUE
2002,12,2002-01-01,2002-12-31,TRUE
2003,12,2003-01-01,2003-12-31,TRUE
2004,12,2004-01-01,2004-12-31,TRUE
2005,12,2005-01-01,2005-12-31,TRUE
2006,12,2006-01-01,2006-12-31,TRUE
2007,12,2007-01-01,2007-12-31,TRUE
2008,12,2008-01-01,2008-12-31,TRUE
2009,12,2009-01-01,2009-12-31,TRUE
2010,12,2010-01-01,2010-12-31,TRUE
2011,12,2011-01-01,2011-12-31,TRUE
2012,12,2012-01-01,2012-12-31,TRUE
2013,12,2013-01-01,2013-12-31,TRUE
2014,12,2014-01-01,2014-12-31,TRUE
2015,12,2015-01-01,2015-12-31,TRUE
2016,12,2016-01-01,2016-12-31,TRUE
2017,12,2017-01-01,2017-12-31,TRUE
2018,12,2018-01-01,2018-12-31,TRUE
2019,12,2019-01-01,2019-12-31,TRUE
2020,12,2020-01-01,2020-12-31,TRUE
2021,12,2021-01-01,2021-12-31,TRUE
2022,12,2022-01-01,2022-12-31,TRUE
2023,12,2023-01-01,2023-12-31,TRUE
2024,12,2024-01-01,2024-12-31,TRUE
2025,12,2025-01-01,2025-12-31,TRUE
2026,8,2026-01-01,2026-08-08,FALSE
