"INCIDENT_YEAR","MONTH_NAME","strikes"
1990,"Jan",38
1990,"Feb",28
1990,"Mar",29
1990,"Apr",59
1990,"May",217
1990,"Jun",220
1990,"Jul",269
1990,"Aug",272
1990,"Sep",326
1990,"Oct",337
1990,"Nov",209
1990,"Dec",116
1991,"Jan",112
1991,"Feb",97
1991,"Mar",169
1991,"Apr",184
1991,"May",238
1991,"Jun",162
1991,"Jul",247
1991,"Aug",297
1991,"Sep",333
1991,"Oct",306
1991,"Nov",235
1991,"Dec",135
1992,"Jan",116
1992,"Feb",115
1992,"Mar",150
1992,"Apr",167
1992,"May",257
1992,"Jun",225
1992,"Jul",265
1992,"Aug",392
1992,"Sep",347
1992,"Oct",298
1992,"Nov",193
1992,"Dec",127
1993,"Jan",137
1993,"Feb",115
1993,"Mar",156
1993,"Apr",204
1993,"May",222
1993,"Jun",193
1993,"Jul",271
1993,"Aug",332
1993,"Sep",395
1993,"Oct",296
1993,"Nov",163
1993,"Dec",141
1994,"Jan",121
1994,"Feb",96
1994,"Mar",155
1994,"Apr",175
1994,"May",205
1994,"Jun",177
1994,"Jul",278
1994,"Aug",366
1994,"Sep",370
1994,"Oct",342
1994,"Nov",275
1994,"Dec",147
1995,"Jan",124
1995,"Feb",84
1995,"Mar",185
1995,"Apr",181
1995,"May",241
1995,"Jun",217
1995,"Jul",299
1995,"Aug",348
1995,"Sep",340
1995,"Oct",394
1995,"Nov",259
1995,"Dec",155
1996,"Jan",128
1996,"Feb",116
1996,"Mar",165
1996,"Apr",178
1996,"May",287
1996,"Jun",237
1996,"Jul",305
1996,"Aug",376
1996,"Sep",397
1996,"Oct",388
1996,"Nov",275
1996,"Dec",179
1997,"Jan",140
1997,"Feb",140
1997,"Mar",230
1997,"Apr",245
1997,"May",306
1997,"Jun",274
1997,"Jul",341
1997,"Aug",485
1997,"Sep",467
1997,"Oct",463
1997,"Nov",291
1997,"Dec",178
1998,"Jan",175
1998,"Feb",174
1998,"Mar",233
1998,"Apr",239
1998,"May",278
1998,"Jun",230
