"SPECIES","LABEL_TYPE","REPORTED_STRIKES","KNOWN_DAMAGE_REPORTS","DAMAGING_STRIKES","MISSING_DAMAGE_REPORTS","DAMAGE_RATE"
"Acadian flycatcher","Named species",30,30,0,0,0
"African collared dove","Named species",4,4,0,0,0
"African silverbill","Named species",8,8,0,0,0
"African yellow bat","Named species",1,1,0,0,0
"Alder flycatcher","Named species",24,24,0,0,0
"Alder/willow flycatcher complex","Broad/ambiguous label",90,90,1,0,0.0111111111111111
"Allen's hummingbird","Named species",3,3,0,0,0
"Alligator snapping turtle","Named species",3,3,0,0,0
"Alpine swift","Named species",1,1,0,0,0
"Alvarez<U+2019>s mastiff bat","Named species",1,1,0,0,0
"American alligator","Named species",37,37,3,0,0.0810810810810811
"American avocet","Named species",20,20,1,0,0.05
"American badger","Named species",8,8,0,0,0
"American barn owl","Named species",2373,2373,70,0,0.0294985250737463
"American bittern","Named species",30,30,8,0,0.266666666666667
"American black bear","Named species",3,3,0,0,0
"American black duck","Named species",103,103,12,0,0.116504854368932
"American coot","Named species",515,515,108,0,0.209708737864078
"American crow","Named species",794,794,54,0,0.0680100755667506
"American golden-plover","Named species",368,368,10,0,0.0271739130434783
"American goldfinch","Named species",209,209,0,0,0
"American goshawk","Named species",5,5,0,0,0
"American kestrel","Named species",10482,10482,64,0,0.00610570501812631
"American mink","Named species",7,7,0,0,0
"American oystercatcher","Named species",58,58,0,0,0
"American pipit","Named species",558,558,1,0,0.0017921146953405
"American red squirrel","Named species",1,1,0,0,0
"American redstart","Named species",252,252,2,0,0.00793650793650794
"American robin","Named species",2782,2782,198,0,0.0711718188353702
"American tree sparrow","Named species",61,61,0,0,0
"American white pelican","Named species",39,39,25,0,0.641025641025641
"American wigeon","Named species",144,144,52,0,0.361111111111111
"American woodcock","Named species",283,283,14,0,0.049469964664311
"Angolan free-tailed bat","Named species",1,1,0,0,0
"Anhinga","Named species",89,89,47,0,0.528089887640449
"Anna's hummingbird","Named species",24,24,0,0,0
"Antelope jackrabbit","Named species",2,2,0,0,0
"Antillean fruit-eating bat","Named species",1,1,0,0,0
"Antillean nighthawk","Named species",17,17,0,0,0
"Antillean palm swift","Named species",16,16,0,0,0
"Arctic tern","Named species",6,6,1,0,0.166666666666667
"Ash-throated flycatcher","Named species",19,19,1,0,0.0526315789473684
"Australian pelican","Named species",1,1,1,0,1
"Avocets,stilts","Broad/ambiguous label",1,1,0,0,0
"Axis deer","Named species",1,1,0,0,0
"Baird's sandpiper","Named species",94,94,2,0,0.0212765957446809
"Baird's sparrow","Named species",8,8,0,0,0
"Bald eagle","Named species",593,593,209,0,0.352445193929174
"Baltimore oriole","Named species",64,64,1,0,0.015625
"Band-rumped storm-petrel","Named species",1,1,0,0,0
"Band-tailed pigeon","Named species",46,46,14,0,0.304347826086957
"Bank swallow","Named species",963,963,3,0,0.00311526479750779
"Bar-tailed godwit","Named species",1,1,0,0,0
"Bare-eyed pigeon","Named species",2,2,0,0,0
"Barn swallow","Named species",11721,11721,40,0,0.0034126780991383
"Barred owl","Named species",65,65,1,0,0.0153846153846154
"Barrow's goldeneye","Named species",4,4,0,0,0
"Bats","Broad/ambiguous label",1,1,1,0,1
"Bay-breasted warbler","Named species",126,126,0,0,0
"Bearded seal","Named species",1,1,0,0,0
"Bell's sparrow","Named species",7,7,0,0,0
"Bell's vireo","Named species",1,1,0,0,0
"Belted kingfisher","Named species",21,21,1,0,0.0476190476190476
"Bewick's wren","Named species",4,4,0,0,0
"Bicknell's thrush","Named species",2,2,0,0,0
"Big brown bat","Named species",404,404,0,0,0
"Big free-tailed bat","Named species",4,4,0,0,0
"Black drongo","Named species",30,30,0,0,0
"Black francolin","Named species",10,10,0,0,0
"Black kite","Named species",6,6,4,0,0.666666666666667
"Black mastiff bat","Named species",1,1,1,0,1
"Black noddy","Named species",32,32,0,0,0
"Black phoebe","Named species",10,10,0,0,0
"Black redstart","Named species",1,1,0,0,0
"Black skimmer","Named species",40,40,1,0,0.025
"Black swift","Named species",9,9,0,0,0
"Black tern","Named species",15,15,0,0,0
"Black turnstone","Named species",2,2,0,0,0
"Black vulture","Named species",426,426,273,0,0.640845070422535
"Black-and-white warbler","Named species",153,153,3,0,0.0196078431372549
"Black-bellied plover","Named species",313,313,12,0,0.0383386581469649
"Black-bellied whistling-duck","Named species",32,32,8,0,0.25
"Black-billed cuckoo","Named species",21,21,1,0,0.0476190476190476
"Black-billed magpie","Named species",43,43,3,0,0.0697674418604651
"Black-capped chickadee","Named species",31,31,0,0,0
"Black-chinned hummingbird","Named species",8,8,0,0,0
"Black-crowned night heron","Named species",185,185,12,0,0.0648648648648649
"Black-crowned sparrow lark","Named species",1,1,0,0,0
"Black-faced bunting","Named species",1,1,0,0,0
"Black-footed albatross","Named species",8,8,1,0,0.125
"Black-headed grosbeak","Named species",52,52,6,0,0.115384615384615
"Black-headed gull","Named species",14,14,0,0,0
"Black-headed gull complex","Broad/ambiguous label",4,4,0,0,0
"Black-legged kittiwake","Named species",3,3,0,0,0
"Black-necked stilt","Named species",26,26,0,0,0
"Black-tailed jackrabbit","Named species",589,589,8,0,0.0135823429541596
"Black-tailed prairie dog","Named species",104,104,0,0,0
"Black-throated blue warbler","Named species",112,112,0,0,0
"Black-throated gray warbler","Named species",13,13,0,0,0
"Black-throated green warbler","Named species",90,90,0,0,0
"Black-throated sparrow","Named species",16,16,0,0,0
"Blackbirds","Broad/ambiguous label",1347,1347,86,0,0.0638455827765405
"Blackbirds, meadowlarks, orioles","Broad/ambiguous label",2,2,1,0,0.5
"Blackburnian warbler","Named species",66,66,0,0,0
"Blackpoll warbler","Named species",221,221,2,0,0.00904977375565611
"Blue grosbeak","Named species",20,20,1,0,0.05
"Blue jay","Named species",62,62,1,0,0.0161290322580645
"Blue-and-white swallow","Named species",3,3,0,0,0
"Blue-billed white tern","Named species",38,38,4,0,0.105263157894737
"Blue-black grassquit","Named species",1,1,0,0,0
"Blue-crowned parakeet","Named species",2,2,0,0,0
"Blue-gray gnatcatcher","Named species",125,125,1,0,0.008
"Blue-headed vireo","Named species",58,58,3,0,0.0517241379310345
"Blue-tailed bee-eater","Named species",1,1,0,0,0
"Blue-winged teal","Named species",118,118,42,0,0.355932203389831
"Blue-winged warbler","Named species",3,3,0,0,0
"Blue-winged/cinnamon/green-winged teal complex","Broad/ambiguous label",9,9,4,0,0.444444444444444
"Bluethroat","Named species",1,1,0,0,0
"Boat-tailed grackle","Named species",110,110,1,0,0.00909090909090909
"Bobcat","Named species",1,1,1,0,1
