"SPECIES","LABEL_TYPE","REPORTED_STRIKES","KNOWN_DAMAGE_REPORTS","DAMAGING_STRIKES","MISSING_DAMAGE_REPORTS","DAMAGE_RATE"
"Unknown bird - medium","Unknown/missing",39386,39386,4608,0,0.116995886863352
"Unknown bird","Unknown/missing",37380,37380,1631,0,0.0436329588014981
"Unknown bird - large","Unknown/missing",3986,3986,1457,0,0.365529352734571
"Unknown bird - small","Unknown/missing",54910,54910,1424,0,0.0259333454744127
"Gulls","Broad/ambiguous label",7666,7666,1167,0,0.152230628750326
"Hawks","Broad/ambiguous label",1743,1743,334,0,0.19162363740677
"Ducks","Broad/ambiguous label",979,979,318,0,0.324821246169561
"Geese","Broad/ambiguous label",494,494,259,0,0.524291497975709
"New World vultures","Broad/ambiguous label",433,433,247,0,0.570438799076212
"White-headed gull complex","Broad/ambiguous label",492,492,111,0,0.225609756097561
"Blackbirds","Broad/ambiguous label",1347,1347,86,0,0.0638455827765405
"Ducks, geese, swans","Broad/ambiguous label",154,154,75,0,0.487012987012987
"Doves","Broad/ambiguous label",1418,1418,59,0,0.041607898448519
"Sparrows","Broad/ambiguous label",4405,4405,57,0,0.0129398410896708
"Perching birds (y)","Broad/ambiguous label",1921,1921,52,0,0.0270692347735554
"Egrets","Broad/ambiguous label",406,406,38,0,0.0935960591133005
"Owls","Broad/ambiguous label",420,420,35,0,0.0833333333333333
"Snow goose/Ross's goose complex","Broad/ambiguous label",47,47,32,0,0.680851063829787
"Crows","Broad/ambiguous label",247,247,25,0,0.101214574898785
"Raptors: Hawks, eagles, vultures, kites, osprey, falcons, caracaras","Broad/ambiguous label",85,85,25,0,0.294117647058824
"Sandpipers, curlews, phalaropes, allies","Broad/ambiguous label",422,422,20,0,0.0473933649289099
"Western/Clark's grebe complex","Broad/ambiguous label",37,37,19,0,0.513513513513513
"Deer","Broad/ambiguous label",17,17,14,0,0.823529411764706
"Grackles","Broad/ambiguous label",196,196,13,0,0.0663265306122449
"Herons","Broad/ambiguous label",70,70,13,0,0.185714285714286
"Unknown bird or bat","Unknown/missing",421,421,13,0,0.0308788598574822
"Cattle","Broad/ambiguous label",12,12,12,0,1
"Mallard/American black duck complex","Broad/ambiguous label",64,64,12,0,0.1875
"Swallows","Broad/ambiguous label",1622,1622,12,0,0.00739827373612824
