"SPECIES","LABEL_TYPE","REPORTED_STRIKES","KNOWN_DAMAGE_REPORTS","DAMAGING_STRIKES","MISSING_DAMAGE_REPORTS","DAMAGE_RATE","COUNT_RANK"
"White-tailed deer","Named species",1383,1383,1131,0,0.817787418655098,1
"Canada goose","Named species",2300,2300,1057,0,0.459565217391304,2
"Turkey vulture","Named species",1335,1335,628,0,0.470411985018727,3
"Red-tailed hawk","Named species",4517,4517,572,0,0.126632720832411,4
"Rock pigeon","Named species",4771,4771,326,0,0.0683294906728149,5
"Mourning dove","Named species",17908,17908,322,0,0.0179807907080634,6
"Mallard","Named species",1543,1543,301,0,0.195074530136099,7
"Black vulture","Named species",426,426,273,0,0.640845070422535,8
"Bald eagle","Named species",593,593,209,0,0.352445193929174,9
"American robin","Named species",2782,2782,198,0,0.0711718188353702,10
"Herring gull","Named species",2243,2243,176,0,0.0784663397235845,11
"European starling","Named species",6976,6976,170,0,0.0243692660550459,12
"Osprey","Named species",735,735,165,0,0.224489795918367,13
"Ring-billed gull","Named species",2489,2489,151,0,0.0606669345118521,14
"Snow goose","Named species",205,205,135,0,0.658536585365854,15
"Northern pintail","Named species",312,312,134,0,0.429487179487179,16
"Great blue heron","Named species",672,672,119,0,0.177083333333333,17
"American coot","Named species",515,515,108,0,0.209708737864078,18
"Killdeer","Named species",11434,11434,84,0,0.00734651040755641,19
"Double-crested cormorant","Named species",274,274,82,0,0.299270072992701,20
"Sandhill crane","Named species",222,222,80,0,0.36036036036036,21
"Mule deer","Named species",93,93,79,0,0.849462365591398,22
"Coyote","Named species",988,988,75,0,0.0759109311740891,23
"American barn owl","Named species",2373,2373,70,0,0.0294985250737463,24
"Greater white-fronted goose","Named species",118,118,68,0,0.576271186440678,25
"American kestrel","Named species",10482,10482,64,0,0.00610570501812631,26
"Western cattle egret","Named species",1138,1138,60,0,0.0527240773286467,27
"Northern shoveler","Named species",170,170,58,0,0.341176470588235,28
"Gadwall","Named species",156,156,55,0,0.352564102564103,29
"American crow","Named species",794,794,54,0,0.0680100755667506,30
"American wigeon","Named species",144,144,52,0,0.361111111111111,31
"Horned lark","Named species",9913,9913,50,0,0.00504388177141128,32
"Great horned owl","Named species",468,468,49,0,0.104700854700855,33
"Lesser scaup","Named species",113,113,47,0,0.415929203539823,34
