"SPECIES","LABEL_TYPE","REPORTED_STRIKES","KNOWN_DAMAGE_REPORTS","DAMAGING_STRIKES","MISSING_DAMAGE_REPORTS","DAMAGE_RATE","COUNT_RANK","RATE_RANK"
"Mule deer","Named species",93,93,79,0,0.849462365591398,22,1
"White-tailed deer","Named species",1383,1383,1131,0,0.817787418655098,1,2
"Snow goose","Named species",205,205,135,0,0.658536585365854,15,3
"American white pelican","Named species",39,39,25,0,0.641025641025641,55,4
"Black vulture","Named species",426,426,273,0,0.640845070422535,8,5
"Greater white-fronted goose","Named species",118,118,68,0,0.576271186440678,25,6
"Common loon","Named species",60,60,33,0,0.55,49,7
"Anhinga","Named species",89,89,47,0,0.528089887640449,34,8
"Canvasback","Named species",38,38,20,0,0.526315789473684,62,9
"Turkey vulture","Named species",1335,1335,628,0,0.470411985018727,3,10
"Canada goose","Named species",2300,2300,1057,0,0.459565217391304,2,11
"Cackling goose","Named species",48,48,22,0,0.458333333333333,58,12
"Ring-necked duck","Named species",71,71,32,0,0.450704225352113,51,13
"Northern pintail","Named species",312,312,134,0,0.429487179487179,16,14
"Lesser scaup","Named species",113,113,47,0,0.415929203539823,34,15
"Wood stork","Named species",35,35,13,0,0.371428571428571,84,16
"Golden eagle","Named species",41,41,15,0,0.365853658536585,76,17
"American wigeon","Named species",144,144,52,0,0.361111111111111,31,18
"Sandhill crane","Named species",222,222,80,0,0.36036036036036,21,19
"Blue-winged teal","Named species",118,118,42,0,0.355932203389831,38,20
"Gadwall","Named species",156,156,55,0,0.352564102564103,29,21
"Bald eagle","Named species",593,593,209,0,0.352445193929174,9,22
"Brown pelican","Named species",107,107,37,0,0.345794392523364,44,23
"Northern shoveler","Named species",170,170,58,0,0.341176470588235,28,24
"Broad-winged hawk","Named species",73,73,24,0,0.328767123287671,56,25
"Band-tailed pigeon","Named species",46,46,14,0,0.304347826086957,79,26
"Double-crested cormorant","Named species",274,274,82,0,0.299270072992701,20,27
"Wilson's phalarope","Named species",38,38,11,0,0.289473684210526,97,28
"Wild turkey","Named species",140,140,40,0,0.285714285714286,39,29
"Greater sage-grouse","Named species",42,42,12,0,0.285714285714286,86,29
"Western grebe","Named species",43,43,12,0,0.27906976744186,86,31
"Crested caracara","Named species",44,44,12,0,0.272727272727273,86,32
"Domestic/feral dog","Named species",59,59,16,0,0.271186440677966,74,33
"American bittern","Named species",30,30,8,0,0.266666666666667,119,34
"Wood duck","Named species",136,136,35,0,0.257352941176471,46,35
"Lesser yellowlegs","Named species",36,36,9,0,0.25,109,36
"Black-bellied whistling-duck","Named species",32,32,8,0,0.25,119,36
"Brant","Named species",78,78,19,0,0.243589743589744,66,38
"Ruddy duck","Named species",134,134,32,0,0.238805970149254,51,39
"Eared grebe","Named species",38,38,9,0,0.236842105263158,109,40
"Osprey","Named species",735,735,165,0,0.224489795918367,13,41
"Laysan albatross","Named species",37,37,8,0,0.216216216216216,119,42
"American coot","Named species",515,515,108,0,0.209708737864078,18,43
"Bufflehead","Named species",46,46,9,0,0.195652173913043,109,44
"Mallard","Named species",1543,1543,301,0,0.195074530136099,7,45
"Green-winged teal","Named species",183,183,35,0,0.191256830601093,46,46
"Great blue heron","Named species",672,672,119,0,0.177083333333333,17,47
"Ring-necked pheasant","Named species",116,116,20,0,0.172413793103448,62,48
"Common raven","Named species",98,98,16,0,0.163265306122449,74,49
"Mottled duck","Named species",41,41,6,0,0.146341463414634,132,50
"Swainson's hawk","Named species",274,274,39,0,0.142335766423358,41,51
"Pectoral sandpiper","Named species",89,89,12,0,0.134831460674157,86,52
"Glaucous-winged gull","Named species",243,243,32,0,0.131687242798354,51,53
"Yellow-billed cuckoo","Named species",183,183,24,0,0.131147540983607,56,54
"Greater yellowlegs","Named species",46,46,6,0,0.130434782608696,132,55
"Red-tailed hawk","Named species",4517,4517,572,0,0.126632720832411,4,56
"Yellow-headed blackbird","Named species",40,40,5,0,0.125,147,57
