"SPECIES","n"
"Unknown bird - small",55482
"Unknown bird",40118
"Unknown bird - medium",39519
"Mourning dove",18311
"Barn swallow",11873
"Killdeer",11589
"American kestrel",10648
"Horned lark",10152
"Gulls",7706
"European starling",7132
"Eastern meadowlark",5417
"Rock pigeon",4835
"Red-tailed hawk",4600
"Sparrows",4427
"Unknown bird - large",4032
"Cliff swallow",3787
"Western meadowlark",3066
"American robin",2863
"Ring-billed gull",2562
"American barn owl",2406
"Canada goose",2329
"Herring gull",2291
"Chimney swift",2133
"Perching birds (y)",1962
"Savannah sparrow",1937
"Brazilian free-tailed bat",1879
"Microbats",1877
"Hawks",1761
"Pacific golden-plover",1680
"Swallows",1625
"Mallard",1584
"Common nighthawk",1564
"Doves",1427
"Tree swallow",1420
"White-tailed deer",1397
"Turkey vulture",1377
"Laughing gull",1376
"Blackbirds",1350
"Western cattle egret",1193
"Short-eared owl",1077
"Swainson's thrush",1046
"Yellow-rumped warbler",1036
"Coyote",1007
"Ducks",991
"Bank swallow",975
"Red-winged blackbird",964
"Meadowlarks",950
"Eastern red bat",938
"Striped skunk",938
"White-throated sparrow",859
"American crow",810
"Cedar waxwing",796
"Osprey",769
"Peregrine falcon",707
"Western kingbird",695
"House sparrow",690
"Gray catbird",684
"Great blue heron",681
"Hermit thrush",681
"Bald eagle",621
"Dark-eyed junco",604
"Red-eyed vireo",604
"Song sparrow",600
"Black-tailed jackrabbit",593
"American pipit",577
"Brown-headed cowbird",572
"Zebra dove",568
"Virginia opossum",547
"Burrowing owl",541
"American coot",526
"Little brown bat",513
"White-headed gull complex",510
"Geese",505
"Ruby-crowned kinglet",493
"Scissor-tailed flycatcher",482
"Upland sandpiper",482
"Snow bunting",476
"Great horned owl",474
"Purple martin",466
"Common yellowthroat",465
"Black vulture",444
"New World vultures",441
"Common grackle",437
"Ovenbird",426
"Sandpipers, curlews, phalaropes, allies",426
"Unknown bird or bat",426
"Owls",421
"Egrets",408
"Big brown bat",407
"Vesper bats",400
"Snowy owl",398
"American golden-plover",379
"California gull",377
"Western sandpiper",367
"Least sandpiper",359
"House finch",333
"Wilson's snipe",330
"Red fox",327
"Northern pintail",326
