"STATE","n"
NA,47746
"TX",31642
"FL",25744
"CA",24824
"NY",16358
"CO",15268
"IL",14173
"TN",10736
"OH",9275
"PA",9191
"MI",8583
"NJ",8131
"KY",7992
"MO",7586
"NC",7429
"GA",6754
"HI",5755
"FN",5345
"IN",5148
"DC",4989
"WA",4957
"UT",4815
"LA",4764
"MA",4445
"OR",4427
"AZ",4375
"WI",3696
"VA",3516
"MN",3463
"MD",3348
"SC",2930
"NE",2837
"OK",2737
"AL",2645
"CT",2568
"IA",2440
"AR",1880
"AK",1693
"ND",1559
"NV",1484
"SD",1299
"RI",1265
"NH",1237
"MS",1223
"KS",1168
"ME",1156
"MT",1096
"ID",1049
"NM",911
"PR",794
"WV",731
"VT",441
"VI",399
"WY",379
"GU",339
"MP",243
"DE",215
"ON",189
"BC",130
"UM",118
"QC",72
"AS",61
"AB",59
"MB",16
"MH",13
"NL",6
"NS",5
"SK",5
