"SPECIES","SPECIES_GROUP","REVIEW_STATUS"
"Acadian flycatcher","Perching birds","Existing assignment; not fully audited"
"African collared dove","Doves & pigeons","Existing assignment; not fully audited"
"African silverbill","Perching birds","Reviewed 2026-09-18"
"African yellow bat","Bats","Existing assignment; not fully audited"
"Alder flycatcher","Perching birds","Existing assignment; not fully audited"
"Alder/willow flycatcher complex","Perching birds","Existing assignment; not fully audited"
"Allen's hummingbird","Other birds","Existing assignment; not fully audited"
"Alligator snapping turtle","Reptiles & amphibians","Existing assignment; not fully audited"
"Alpine swift","Other birds","Existing assignment; not fully audited"
"Alvarez’s mastiff bat","Bats","Existing assignment; not fully audited"
"American alligator","Reptiles & amphibians","Existing assignment; not fully audited"
"American avocet","Shorebirds","Existing assignment; not fully audited"
"American badger","Other mammals","Existing assignment; not fully audited"
"American barn owl","Raptors","Existing assignment; not fully audited"
"American bittern","Wading birds","Existing assignment; not fully audited"
"American black bear","Other mammals","Existing assignment; not fully audited"
"American black duck","Waterfowl","Existing assignment; not fully audited"
"American coot","Wading birds","Reviewed 2026-09-18"
"American crow","Corvids","Existing assignment; not fully audited"
"American golden-plover","Shorebirds","Existing assignment; not fully audited"
"American goldfinch","Perching birds","Existing assignment; not fully audited"
"American goshawk","Raptors","Reviewed 2026-09-18"
"American kestrel","Raptors","Existing assignment; not fully audited"
"American mink","Other mammals","Existing assignment; not fully audited"
"American oystercatcher","Shorebirds","Existing assignment; not fully audited"
"American pipit","Perching birds","Existing assignment; not fully audited"
"American red squirrel","Other mammals","Existing assignment; not fully audited"
"American redstart","Perching birds","Reviewed 2026-09-18"
"American robin","Perching birds","Existing assignment; not fully audited"
"American tree sparrow","Perching birds","Existing assignment; not fully audited"
"American white pelican","Seabirds","Existing assignment; not fully audited"
"American wigeon","Waterfowl","Existing assignment; not fully audited"
"American woodcock","Shorebirds","Existing assignment; not fully audited"
"Angolan free-tailed bat","Bats","Existing assignment; not fully audited"
"Anhinga","Seabirds","Existing assignment; not fully audited"
"Anna's hummingbird","Other birds","Existing assignment; not fully audited"
"Antelope jackrabbit","Deer","Existing assignment; not fully audited"
"Antillean fruit-eating bat","Bats","Existing assignment; not fully audited"
"Antillean nighthawk","Other birds","Existing assignment; not fully audited"
"Antillean palm swift","Other birds","Existing assignment; not fully audited"
"Arctic tern","Gulls & terns","Existing assignment; not fully audited"
"Ash-throated flycatcher","Perching birds","Existing assignment; not fully audited"
"Australian pelican","Seabirds","Existing assignment; not fully audited"
"Avocets,stilts","Shorebirds","Existing assignment; not fully audited"
"Axis deer","Deer","Existing assignment; not fully audited"
"Baird's sandpiper","Shorebirds","Existing assignment; not fully audited"
"Baird's sparrow","Perching birds","Existing assignment; not fully audited"
"Bald eagle","Raptors","Existing assignment; not fully audited"
"Baltimore oriole","Perching birds","Existing assignment; not fully audited"
"Band-rumped storm-petrel","Seabirds","Existing assignment; not fully audited"
"Band-tailed pigeon","Doves & pigeons","Existing assignment; not fully audited"
"Bank swallow","Perching birds","Existing assignment; not fully audited"
"Bar-tailed godwit","Shorebirds","Existing assignment; not fully audited"
"Bare-eyed pigeon","Doves & pigeons","Existing assignment; not fully audited"
"Barn swallow","Perching birds","Existing assignment; not fully audited"
"Barred owl","Raptors","Existing assignment; not fully audited"
"Barrow's goldeneye","Waterfowl","Existing assignment; not fully audited"
"Bats","Bats","Existing assignment; not fully audited"
"Bay-breasted warbler","Perching birds","Existing assignment; not fully audited"
"Bearded seal","Other mammals","Reviewed 2026-09-18"
"Bell's sparrow","Perching birds","Existing assignment; not fully audited"
"Bell's vireo","Perching birds","Existing assignment; not fully audited"
"Belted kingfisher","Other birds","Existing assignment; not fully audited"
"Bewick's wren","Perching birds","Existing assignment; not fully audited"
"Bicknell's thrush","Perching birds","Existing assignment; not fully audited"
"Big brown bat","Bats","Existing assignment; not fully audited"
"Big free-tailed bat","Bats","Existing assignment; not fully audited"
"Black drongo","Perching birds","Reviewed 2026-09-18"
"Black francolin","Upland game birds","Reviewed 2026-09-18"
"Black kite","Raptors","Existing assignment; not fully audited"
"Black mastiff bat","Bats","Existing assignment; not fully audited"
"Black noddy","Gulls & terns","Reviewed 2026-09-18"
"Black phoebe","Perching birds","Existing assignment; not fully audited"
"Black redstart","Perching birds","Reviewed 2026-09-18"
"Black skimmer","Gulls & terns","Existing assignment; not fully audited"
"Black swift","Other birds","Existing assignment; not fully audited"
"Black tern","Gulls & terns","Existing assignment; not fully audited"
