"STATE","FAAREGION","DAMAGE_RATE","STRIKE_TOTAL","RECENT_5_YEAR_STRIKES","RISK_SCORE","RISK_PROFILE","region"
"AK","AAL",0.129356172474897,1693,352,59,"Moderate","alaska"
"AL","ASO",0.0544423440453686,2645,780,40,"Moderate","alabama"
"AR","ASW",0.0696808510638298,1880,660,53,"Moderate","arkansas"
"AZ","AWP",0.0521142857142857,4375,1058,44,"Moderate","arizona"
"CA","AWP",0.0756275434143197,24819,6088,89,"High","california"
"CO","ANM",0.0271155357610689,15268,4482,48,"Moderate","colorado"
"CT","ANE",0.061550447993767,2567,494,43,"Moderate","connecticut"
"DC","AEA",0.070555221487272,4989,1021,66,"Moderate","district of columbia"
"DE","AEA",0.158139534883721,215,28,50,"Moderate","delaware"
"FL","ASO",0.0748523927905531,25744,7633,89,"High","florida"
"GA","ASO",0.0522653242522949,6754,1913,54,"Moderate","georgia"
"HI","AWP",0.01876629018245,5755,980,27,"Low","hawaii"
"IA","ACE",0.0561475409836066,2440,647,38,"Moderate","iowa"
"ID","ANM",0.0619637750238322,1049,257,32,"Low","idaho"
"IL","AGL",0.0473435405348197,14173,3259,54,"Moderate","illinois"
"IN","AGL",0.0433177933177933,5148,1318,43,"Moderate","indiana"
"KS","ACE",0.103595890410959,1168,311,55,"Moderate","kansas"
"KY","ASO",0.0361611611611612,7992,1929,44,"Moderate","kentucky"
"LA","ASW",0.0541561712846348,4764,924,42,"Moderate","louisiana"
"MA","ANE",0.0708661417322835,4445,1124,71,"High","massachusetts"
"MD","AEA",0.0663082437275986,3348,703,52,"Moderate","maryland"
"ME","ANE",0.0562283737024221,1156,361,31,"Low","maine"
"MI","AGL",0.0504485611091693,8583,2043,54,"Moderate","michigan"
"MN","AGL",0.0952930984695351,3463,894,70,"High","minnesota"
"MO","ACE",0.0577379383074084,7586,1724,61,"Moderate","missouri"
"MS","ASO",0.0703188879803761,1223,286,42,"Moderate","mississippi"
"MT","ANM",0.0629562043795621,1096,369,41,"Moderate","montana"
"NC","ASO",0.0503432494279176,7429,2080,54,"Moderate","north carolina"
"ND","AGL",0.0699614890885751,1558,404,48,"Moderate","north dakota"
"NE","ACE",0.0560451180824815,2837,490,34,"Moderate","nebraska"
"NH","ANE",0.0420711974110032,1236,313,14,"Low","new hampshire"
"NJ","AEA",0.0617390234903456,8131,1258,61,"Moderate","new jersey"
"NM","ASW",0.0537870472008782,911,286,21,"Low","new mexico"
"NV","AWP",0.0700808625336927,1484,378,48,"Moderate","nevada"
"NY","AEA",0.0605208460692016,16358,3037,69,"High","new york"
"OH","AGL",0.0491644204851752,9275,1840,49,"Moderate","ohio"
"OK","ASW",0.0569967117281695,2737,635,39,"Moderate","oklahoma"
"OR","ANM",0.0677659814772984,4427,859,56,"Moderate","oregon"
"PA","AEA",0.0592971385050593,9191,1547,61,"Moderate","pennsylvania"
"RI","ANE",0.0442687747035573,1265,272,13,"Low","rhode island"
"SC","ASO",0.0573378839590444,2930,1025,52,"Moderate","south carolina"
"SD","AGL",0.0785219399538106,1299,456,57,"Moderate","south dakota"
"TN","ASO",0.0353017883755589,10736,3280,48,"Moderate","tennessee"
"TX","ASW",0.042601605461096,31642,9529,56,"Moderate","texas"
"UT","ANM",0.0882658359293873,4815,1258,77,"High","utah"
"VA","AEA",0.0904436860068259,3516,763,66,"Moderate","virginia"
"VT","ANE",0.0408163265306122,441,88,5,"Low","vermont"
"WA","ANM",0.074238450675812,4957,1094,71,"High","washington"
"WI","AGL",0.0633116883116883,3696,1011,58,"Moderate","wisconsin"
"WV","AEA",0.124487004103967,731,160,51,"Moderate","west virginia"
"WY","ANM",0.100263852242744,379,103,48,"Moderate","wyoming"
